ふんわり×ごろっと　肉まん,,大きめのサイズにカットした豚肩ロース肉・玉ねぎ・筍・椎茸を使用した、具材の固形感と素材の美味しさあふれる中具を、ふんわりもっちりした生地で包みました。,130円（税込140.40円）,販売地域：全国
もちもち×ずっしり　大入り豚まん,,豚肉の旨みと玉ねぎの風味が感じられるずっしりと肉感のある中具を、もちもちと弾力のある生地で包みました。１個でしっかりボリューム感があり、食べ応えが感じられます。,198円（税込213.84円）,販売地域：北海道、東北、関東、甲信越、北陸、東海、中国、四国、九州、沖縄
もっちり×ジューシー　特製豚まん,,肩ロース、もも、ウデ、背脂の旨みと、玉ねぎの甘み・旨みがしっかり感じられる中具を、もっちりと弾力のあるしっとり生地で包んだボリューム感のある豚まんです。,168円（税込181.44円）,販売地域：近畿
ふわっふわ×濃厚　ごまあんまん,,工場で挽きたてのすりごまを増量した、ごま風味豊かでなめらかな食感の濃厚なあんこを、ふわっふわでしっとりとした口どけのよい食感の生地で包みました。,110円（税込118.80円）,販売地域：北海道、東北、関東、甲信越、富山県、石川県、静岡県
ふわふわ×つぶつぶ　　つぶあんまん,,北海道産の小豆を100%使用した風味豊かなつぶあんを、ふんわり口どけのよい生地に包みました。,110円（税込118.80円）,販売地域：石川県、福井県、岐阜県、愛知県、三重県、近畿、中国、四国、九州、沖縄
もっちり×とろ～り　ピザまん,,とろ～り濃厚な４種のチーズとフレッシュな味わいのトマトソースを組み合わせた、チーズの存在感が際立つ中具を、相性抜群のもっちりとした生地で包みました。,130円（税込140.40円）,販売地域：全国
エビチリまん,,豆板醤から作り上げ、辛味もありながら旨味を引き立てた本格的なエビチリで作った中華まんです。生地も口どけのよい食感に仕上げました。,178円（税込192.24円）,販売地域：静岡県、愛知県
